index,weighted_TFIDF_scores
0,0.118447237
1,0.168379344
2,0.112829187
3,0.298473628
4,0.100915546
5,0.089823757
6,0.131027443
7,0.163373535
8,0.306554771
9,0.312450055
10,0.180526699
11,0.541580096
12,0.277762694
13,0.430349799
14,0.855126468
15,0.601755662
16,0.902633493
17,0.773685852
18,0.588144726
19,0.541580096
20,0.50773134
21,0.601755662
22,0.515845002
23,0.15473717
24,0.193421463
25,0.422793162
26,0.764722855
27,0.519431599
28,0.386842926
29,0.331579651
30,1.151702539
31,0.22620951
32,0.343020867
33,0.413184226
34,0.402988204
35,1.01546268
36,0.477864791
37,0.367590453
38,0.40121278
39,0.40121278
40,0.422793162
41,0.231468911
42,0.125707867
43,0.429870835
44,0.432859666
45,0.236105272
46,0.466156563
47,0.263479797
48,0.315077532
49,0.322403126
50,0.401007767
51,0.585228145
52,0.120851656
53,0.352886835
54,0.081326915
55,0.113834463
56,0.088301103
57,0.5920435
58,0.222567163
59,0.220554272
60,0.123086385
61,0.563150278
62,0.271344865
63,0.282097344
64,0.423646808
65,0.107598695
66,0.36189947
67,0
68,0.281641104
69,0.385995148
70,0.311834838
71,0.180526699
72,0.171510434
73,0.126932835
74,0.168418876
75,0.220840501
76,0
77,0.128936922
78,0.21783138
79,0.182419857
80,0.139846969
81,0.189724105
82,0.216632038
83,0.133966048
84,0.136532797
85,0.386764186
87,0.229843081
88,0.146372999
89,0.396278119
90,0.305366603
91,0.489873734
92,0.135395024
93,0.122355657
94,0.166456054
95,0.185014641
96,0.217525001
97,0.184629578
98,0.25776945
99,0.142162009
100,0.284064156
101,0.112829187
102,0.156225028
103,0.128947642
104,0.280324276
105,0.124852711
106,0.20993692
107,0.261584258
108,0.191177889
109,0.316745277
110,0.182555089
111,0.148010875
112,0.248511856
113,0.377846579
114,0.306554771
115,0.223346098
116,0
117,0.222567163
118,0.162474029
119,0.248669127
120,0.173143866
121,0
122,0.237774562
123,0.153790364
124,0.305313943
125,0.180346225
126,0.285042156
127,0.137689855
128,0.096710731
129,0
130,0.190048159
131,0.147036181
132,0.129737807
133,0.154068695
134,0.222567163
135,0.282359208
136,0.386842926
137,0.285042156
138,0.345834129
139,0.158373466
141,0.120029536
142,0.184006117
143,0.116900309
144,0.244711313
145,0.613109543
146,0.150454792
147,0.165789825
148,0.102831664
149,0.237560198
150,0.132754229
151,0.383458921
152,0.193421463
153,0.183637434
154,0.153429059
155,0.104150018
156,0.49572815
157,0.191365229
158,0.238932395
159,0.146613758
160,0.134295811
161,0.198387806
162,0.129248933
163,0.232162392
164,0.179707133
165,0.284586158
166,0.161246387
167,0.139957946
168,0.220386952
169,0.351220076
170,0.203092536
171,0.175287137
172,0.250757987
173,0.105502616
174,0.346289595
175,0
176,0.261660508
177,0.331579651
178,0.24249855
179,0.115063962
180,0.392096484
181,0.198401924
182,0
183,0.164161307
184,0.24139247
185,0.106890808
186,0.18945579
187,0.213781617
188,0.217780212
189,0.346607943
190,0.319599532
191,0.192069948
192,0.291045849
193,0.164115181
194,0.399562768
195,0.151844887
196,0.151844887
197,0.130698828
198,0.150840418
199,0.439118997
200,0.131095347
201,0.294072363
202,0.147703663
203,0.134295811
204,0.288495086
205,0.186751757
206,0.205588037
207,0.158916709
208,0.181716322
209,0.170937555
210,0.300909585
211,0.216632038
212,0.180001049
213,0.284064156
214,0.243556363
215,0.159474614
216,0.143449933
217,0.101546268
218,0.173363683
219,0.280068917
220,0.119466198
221,0.12090232
222,0.311186815
223,0.127144895
224,0.161874695
225,0.515845002
226,0.237560198
227,0.186751757
228,0.157741776
229,0.233775581
230,0
231,0.167672411
232,0.128947642
233,0.361053397
234,0.192069948
235,0.208300037
236,0.228538925
237,0.092314789
238,0.145601412
239,0.143385535
240,0.384139895
241,0.238932395
242,0.188811932
243,0.106890808
244,0.19548501
245,0.295372513
246,0.246172771
247,0.29905664
248,0.143782326
250,0.25144501
251,0.207925681
252,0.564205471
253,0.205663328
254,0.191145916
255,0.176386745
256,0.193421463
257,0.193405383
258,0.196965852
259,0.415349507
260,0.495992393
261,0.147165713
262,0.374726322
263,0.211372637
264,0.123086385
265,0.135672433
266,0.194135216
267,0.205165626
268,0.30620134
269,0.188923289
270,0.290132194
271,0.278081038
272,0.17009282
273,0.509984526
274,0.505002943
275,0.117734803
276,0.176602205
277,0
278,0.248458867
279,0.173144797
280,0.135395024
281,0.127857549
283,0.131674192
284,0.17032618
285,0.486357058
286,0.120351132
287,0
288,0.180545751
289,0.24249855
290,0.167171991
291,0.197046832
292,0.1521347
293,0.143150441
294,0.249042547
295,0.114340289
296,0.172507247
297,0.243227637
298,0.131674192
299,0.229147296
300,0.257828281
301,0.205663328
302,0.496036446
304,0.126031013
305,0.110970703
306,0.241491428
307,0.384139895
308,0.204119216
309,0.295372513
310,0.464324783
311,0.148054256
